"tweet_id","in_reply_to_status_id","in_reply_to_user_id","timestamp","source","text","retweeted_status_id","retweeted_status_user_id","retweeted_status_timestamp","expanded_urls"
"895849276680613888","","","2017-08-11 03:28:06 +0000","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","RT @RyTriGuy: This. Is. Amazing. 🤣🤣🤣 https://t.co/XsiW4tigU3","895847319697997824","27992689","2017-08-11 03:20:19 +0000","https://twitter.com/cenmag/status/895710125301919744,https://twitter.com/cenmag/status/895710125301919744"
"895837053103083523","","","2017-08-11 02:39:31 +0000","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","Sneak peak: If you're taking Physics (11-12), then you miiiiight be doing something very similar very soon. https://t.co/n7Ll3RiByN","","","","https://twitter.com/SchoberScience/status/892725673118355457"
"895747683910119425","","","2017-08-10 20:44:24 +0000","<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for iΟS</a>","RT @valdonnan: Day 4 and the new staff is still going strong! Amazing new staff in CUSD118! #d118life https://t.co/cyTvrwESTP","895664213980532737","14332386","2017-08-10 15:12:43 +0000","https://twitter.com/valdonnan/status/895664213980532737/photo/1,https://twitter.com/valdonnan/status/895664213980532737/photo/1"
"895735221554950144","","","2017-08-10 19:54:53 +0000","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","RT @UniverseAndMore: Cardboard + 2 binder clips = AMAZING circuit switches! Bonus: students can see how a switch actually works.⚡️🤔 #classr…","895677351064879104","801087787","2017-08-10 16:04:56 +0000","https://twitter.com/UniverseAndMore/status/895677351064879104/photo/1"
"895735127560658944","","","2017-08-10 19:54:31 +0000","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","RT @Desmos: Check out this diverse collection of over 50 polygraphs. A great way to start classroom discussions from day one.
https://t.co/…","895362033624940545","267874610","2017-08-09 19:11:58 +0000","https://teacher.desmos.com/search?q=polygraph,https://twitter.com/Desmos/status/895362033624940545/photo/1"
"895733681813409793","","","2017-08-10 19:48:46 +0000","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","Conceptual reasoning is super important. Understanding the underlying ""Why"" is more important that the specific ""what."" https://t.co/R4s1u6amPx","","","","https://twitter.com/Allthingsphysix/status/895654215288094722"
"895634317027799041","","","2017-08-10 13:13:55 +0000","<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for iΟS</a>","This is the 3rd goodie bag I've received in 4 days. 🤗🤗🤗 https://t.co/jeGlv2AstY","","","","https://twitter.com/MrWSci/status/895634317027799041/photo/1"
"895486086247567361","","","2017-08-10 03:24:54 +0000","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","Bad news:
I seem to have lost all my posters in moving from CT to IL.
Good news:
New posters are on the way! https://t.co/7ZNr6QaIj8
🤓 https://t.co/fTrLSvYAh1","","","","https://www.etsy.com/shop/Rachelignotofsky,https://twitter.com/MrWSci/status/895486086247567361/photo/1"
"895343344620097536","","","2017-08-09 17:57:42 +0000","<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for iΟS</a>","Room status: Still a hot mess. But it's a more organized hot mess. #BreakItDownToBuildItUp https://t.co/bNzhbhBvZw","","","","https://twitter.com/MrWSci/status/895343344620097536/photo/1,https://twitter.com/MrWSci/status/895343344620097536/photo/1"
"895342844604551169","","","2017-08-09 17:55:43 +0000","<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for iΟS</a>","🙌🙌🙌 
(via @maalmeida85) https://t.co/HlTBpFUx1K","","","","https://twitter.com/PhysicsUpdate/status/895269823084679168"
"895001182216876033","","","2017-08-08 19:18:04 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Hey, I know those people! 
(PS - Thanks for the fancy room...😁) https://t.co/WYGNRlCDQY","","","","https://twitter.com/gregory_bays/status/894607427231940610"
"894980543925948416","","","2017-08-08 17:56:04 +0000","<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for iΟS</a>","Setting up the classroom and getting organized. 
Current room status: Hot mess. https://t.co/k9WLMZEe5Z","","","","https://twitter.com/MrWSci/status/894980543925948416/photo/1,https://twitter.com/MrWSci/status/894980543925948416/photo/1,https://twitter.com/MrWSci/status/894980543925948416/photo/1,https://twitter.com/MrWSci/status/894980543925948416/photo/1"
"894970799559516160","","","2017-08-08 17:17:21 +0000","<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for iΟS</a>","Well, well, well. 
Look who just showed up on the tweeter. https://t.co/LF3C4sWtyc","","","","https://twitter.com/MrWSci/status/894970799559516160/photo/1"
